Media,Detail,Unit,Concentration,Year,Month,Longitude_east,Latitude_north,Reference,Sample_Size_and scope,Methodology,Backup_information
soil,surface agricultural soil 0~0.1m,ng/g,0.059,2019,9,118.96,42.38,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 147 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2058. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=139). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.059,2019,9,122.31,43.49,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 148 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2059. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=140). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.3,2019,11,120.16,33.73,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 149 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2060. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=141). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.3,2019,11,120.56,32.3,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 150 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2061. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=142). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.3,2019,11,121.52,31.83,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 151 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2062. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=143). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.1,2019,10,122.87,45.48,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 152 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2063. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=144). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.1,2019,10,126.22,45,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 153 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2064. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=145). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.1,2019,10,125.27,44.29,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 154 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2065. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=146). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.1,2019,10,126.38,42.94,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 155 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2066. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=147). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,4.61,2019,10,121.44,41.19,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 156 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2067. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=148). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,4.61,2019,10,123.03,41.83,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 157 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2068. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=149). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,4.61,2019,10,124.55,40.16,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 158 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2069. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=150). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.735,2019,9,106.27,38.17,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 159 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2070. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=151). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.735,2019,9,106.03,36.9,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 160 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2071. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=152). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
